,CosineDist,Freq,Labels,Sizes,Xcoords,Ycoords
0,0.0,19800,#biden,9.893,34.832,110.629
1,0.207,9883,#joebiden,9.199,-53.299,-88.921
2,0.3,5,#stipemesic,1.609,-9.835,-71.656
3,0.301,60532,#trump,11.011,4.481,13.227
4,0.357,6050,#usa,8.708,-55.631,-4.529
5,0.383,11053,#donaldtrump,9.31,-12.029,-120.129
6,0.391,25,#pmik,3.219,-101.573,-62.761
7,0.392,5,rdags,1.609,43.583,-2.922
8,0.395,10,#komunizm,2.303,-57.03,-42.514
9,0.399,5,#ethoslifestyle,1.609,52.809,32.259
10,0.423,4822,#bidenharris,8.481,-20.505,-27.562
11,0.428,7961,administration,8.982,71.109,-87.321
12,0.443,422,#hallucinant,6.045,88.268,13.439
13,0.447,21,@mpkretschmer,3.045,115.796,-60.498
14,0.458,1863,#america,7.53,-44.055,33.132
15,0.47,5,#killer,1.609,11.728,-21.818
16,0.473,247,hrlich,5.509,3.764,85.255
17,0.478,21,@sms,3.045,-69.471,127.056
18,0.479,387,annulation,5.958,-11.716,42.644
19,0.481,4015,#covid,8.298,95.746,119.037
20,0.481,5,genrep,1.609,130.307,-7.963
21,0.483,3532,#bidenharrisinauguration,8.17,-83.714,33.318
22,0.486,3851,#kamalaharris,8.256,30.659,-94.319
23,0.489,11,erre,2.398,111.019,52.791
24,0.495,80,#aarp,4.382,23.753,52.853
25,0.502,21,@sachsende,3.045,-102.317,-10.776
26,0.502,32,governato,3.466,-33.665,74.694
27,0.504,11,@myriamwinner,2.398,75.406,-30.348
28,0.505,6,#okopress,1.792,61.464,72.941
29,0.507,828,#obama,6.719,37.286,-48.112
30,0.51,1790,posesi,7.49,-20.729,126.63
31,0.51,11,@maruvilla,2.398,-139.061,18.986
