,freq,conf_low,conf_area
0,15.0,15.0,0.0
1,94.0,94.0,0.0
2,125.0,125.0,0.0
3,106.0,106.0,0.0
4,72.0,72.0,0.0
5,24.0,24.0,0.0
6,24.0,24.0,0.0
7,13.0,13.0,0.0
8,20.0,20.0,0.0
9,17.0,17.0,0.0
10,21.0,21.0,0.0
11,18.0,18.0,0.0
12,16.0,16.0,0.0
13,15.0,15.0,0.0
14,20.0,20.0,0.0
15,15.0,15.0,0.0
16,17.0,17.0,0.0
17,18.0,18.0,0.0
18,21.0,21.0,0.0
19,19.0,19.0,0.0
20,35.0,35.0,0.0
21,22.0,22.0,0.0
22,26.0,26.0,0.0
23,18.0,18.0,0.0
24,19.0,19.0,0.0
25,6.0,6.0,0.0
26,16.0,16.0,0.0
27,9.0,9.0,0.0
28,6.0,6.0,0.0
29,6.0,6.0,0.0
30,6.0,6.0,0.0
31,3.0,3.0,0.0
32,6.0,6.0,0.0
33,4.0,4.0,0.0
34,3.0,3.0,0.0
35,7.0,7.0,0.0
36,5.0,5.0,0.0
37,4.0,4.0,0.0
38,2.0,2.0,0.0
39,1.0,1.0,0.0
40,7.0,7.0,0.0
41,1.0,1.0,0.0
42,7.0,7.0,0.0
43,6.0,6.0,0.0
44,4.0,4.0,0.0
45,10.0,10.0,0.0
46,62.0,62.0,0.0
47,117.0,117.0,0.0
48,49.0,49.0,0.0
49,31.0,31.0,0.0
50,21.0,21.0,0.0
51,21.0,21.0,0.0
52,10.0,10.0,0.0
53,9.0,9.0,0.0
54,11.0,11.0,0.0
55,8.0,8.0,0.0
56,9.0,9.0,0.0
57,8.0,8.0,0.0
58,9.0,9.0,0.0
59,8.0,8.0,0.0
60,5.0,5.0,0.0
61,2.0,2.0,0.0
62,4.0,4.0,0.0
63,3.0,3.0,0.0
64,11.0,11.0,0.0
65,2.0,2.0,0.0
66,6.0,6.0,0.0
67,4.0,4.0,0.0
68,10.0,10.0,0.0
69,11.0,11.0,0.0
70,5.0,5.0,0.0
71,4.0,4.0,0.0
72,9.0,9.0,0.0
73,4.0,4.0,0.0
74,145.0,145.0,0.0
75,54.0,54.0,0.0
76,37.0,37.0,0.0
77,32.576849191337224,7.542388709419975,148.24729588421093
78,27.450802657861143,5.384364861180598,145.33523854614305
79,24.335378897717522,4.0124809502054255,151.6046249241616
80,21.838183744936583,3.2834232290805554,148.53008684946263
81,20.004787963173033,2.812967005511852,145.07966998047016
82,18.575975301746734,2.5000794343029367,140.52243731482957
83,17.467540200174778,2.28054475199919,136.07092986820862
84,16.591467637119163,2.1216270770520675,131.86959331061885
85,15.894667344983677,2.0035030134177814,128.10286414026245
86,15.335401517189833,1.9138746164303195,124.79263463262512
