,freq,conf_low,conf_area
0,3.0,3.0,0.0
1,20.0,20.0,0.0
2,37.0,37.0,0.0
3,23.0,23.0,0.0
4,19.0,19.0,0.0
5,8.0,8.0,0.0
6,6.0,6.0,0.0
7,4.0,4.0,0.0
8,8.0,8.0,0.0
9,4.0,4.0,0.0
10,10.0,10.0,0.0
11,8.0,8.0,0.0
12,7.0,7.0,0.0
13,4.0,4.0,0.0
14,3.0,3.0,0.0
15,6.0,6.0,0.0
16,5.0,5.0,0.0
17,7.0,7.0,0.0
18,3.0,3.0,0.0
19,5.0,5.0,0.0
20,8.0,8.0,0.0
21,11.0,11.0,0.0
22,11.0,11.0,0.0
23,9.0,9.0,0.0
24,2.0,2.0,0.0
25,8.0,8.0,0.0
26,7.0,7.0,0.0
27,7.0,7.0,0.0
28,6.0,6.0,0.0
29,1.0,1.0,0.0
30,4.0,4.0,0.0
31,4.0,4.0,0.0
32,3.0,3.0,0.0
33,3.0,3.0,0.0
34,1.0,1.0,0.0
35,3.0,3.0,0.0
36,2.0,2.0,0.0
37,3.0,3.0,0.0
38,1.0,1.0,0.0
39,3.0,3.0,0.0
40,2.0,2.0,0.0
41,1.0,1.0,0.0
42,1.0,1.0,0.0
43,2.0,2.0,0.0
44,2.0,2.0,0.0
45,3.0,3.0,0.0
46,22.0,22.0,0.0
47,33.0,33.0,0.0
48,15.0,15.0,0.0
49,9.0,9.0,0.0
50,7.0,7.0,0.0
51,8.0,8.0,0.0
52,2.0,2.0,0.0
53,4.0,4.0,0.0
54,7.0,7.0,0.0
55,3.0,3.0,0.0
56,3.0,3.0,0.0
57,1.0,1.0,0.0
58,1.0,1.0,0.0
59,1.0,1.0,0.0
60,2.0,2.0,0.0
61,1.0,1.0,0.0
62,1.0,1.0,0.0
63,3.0,3.0,0.0
64,2.0,2.0,0.0
65,3.0,3.0,0.0
66,1.0,1.0,0.0
67,1.0,1.0,0.0
68,4.0,4.0,0.0
69,2.0,2.0,0.0
70,1.0,1.0,0.0
71,7.0,7.0,0.0
72,4.0,4.0,0.0
73,4.0,4.0,0.0
74,107.0,107.0,0.0
75,46.0,46.0,0.0
76,11.0,11.0,0.0
77,7.736752899958775,1.6317883374974416,38.31384081914435
78,6.216180248493009,0.994519706118176,39.84834697976601
79,5.425364346233851,0.7883343204045193,38.12601901524521
80,4.985201094428452,0.6987914727377285,36.263378222092946
81,4.729695298333671,0.6539369089888181,34.86215685740919
82,4.577463479545722,0.6295544299453651,33.91209666921325
83,4.485283580746168,0.6156201544509634,33.294486585737744
84,4.428902738467142,0.6074030009086888,32.90092054602618
85,4.394201966556159,0.6024604638097165,32.652714518297614
86,4.372761581778206,0.5994503321584351,32.49707858473856
